doi,pt2,sample_id,response_length,metric,judge,score,label_count,model,directory
10.1002/ccd.70515,_other,10.1002/ccd.70515,536,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/ccd.70515,_other,10.1002/ccd.70515,536,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/ccd.70515,_other,10.1002/ccd.70515,536,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/ccd.70515,_other,10.1002/ccd.70515,536,quality,anthropic/claude-opus-4-6@default,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/ccd.70515,_other,10.1002/ccd.70515,536,quality,google/gemini-3.1-pro-preview,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/ccd.70515,_other,10.1002/ccd.70515,536,quality,openai/gpt-5.4-nano-2026-03-17,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/dmrr.70141,_other,10.1002/dmrr.70141,499,grounding,anthropic/claude-opus-4-6@default,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/dmrr.70141,_other,10.1002/dmrr.70141,499,grounding,google/gemini-3.1-pro-preview,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/dmrr.70141,_other,10.1002/dmrr.70141,499,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,3.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/dmrr.70141,_other,10.1002/dmrr.70141,499,quality,anthropic/claude-opus-4-6@default,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/dmrr.70141,_other,10.1002/dmrr.70141,499,quality,google/gemini-3.1-pro-preview,0.5,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1002/dmrr.70141,_other,10.1002/dmrr.70141,499,quality,openai/gpt-5.4-nano-2026-03-17,1.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s10388-026-01185-4,_other,10.1007/s10388-026-01185-4,378,grounding,anthropic/claude-opus-4-6@default,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s10388-026-01185-4,_other,10.1007/s10388-026-01185-4,378,grounding,google/gemini-3.1-pro-preview,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s10388-026-01185-4,_other,10.1007/s10388-026-01185-4,378,grounding,openai/gpt-5.4-nano-2026-03-17,1.0,2.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s10388-026-01185-4,_other,10.1007/s10388-026-01185-4,378,quality,anthropic/claude-opus-4-6@default,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s10388-026-01185-4,_other,10.1007/s10388-026-01185-4,378,quality,google/gemini-3.1-pro-preview,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s10388-026-01185-4,_other,10.1007/s10388-026-01185-4,378,quality,openai/gpt-5.4-nano-2026-03-17,0.0,,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11060-026-05452-3,_other,10.1007/s11060-026-05452-3,292,grounding,anthropic/claude-opus-4-6@default,1.0,1.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
10.1007/s11060-026-05452-3,_other,10.1007/s11060-026-05452-3,292,grounding,google/gemini-3.1-pro-preview,1.0,1.0,google/gemini-2.5-flash,out/pubmed-observation-conclusion/20260413_1656
