pmid,doi,conclusion,result,abstract,mesh
41629757,10.1093/acamed/wvag025,"Master clinical teachers describe an active, intentional process to development of teaching skills that maps on the MAL framework. Institutions should support the expansion of faculty development efforts to explicitly promote this approach and address barriers to professional development of clinical teachers.","Twenty-nine clinical teachers participated, representing 11 specialties. The authors identified 4 main themes: (1) master clinical teachers intentionally change and improve their teaching over time; (2) internal and external factors drive change, including learner feedback, reflection, and humility; (3) formal and informal mechanisms enable teachers to change and improve, including faculty development, role modeling, and practice; and (4) changes encompass what and how they teach, with increasing emphasis on learner-centered approaches. The data suggest a master adaptive approach to teacher development-identifying gaps in knowledge through reflection and seeking professional development opportunities (planning), engaging with such opportunities (learning), analyzing feedback after experimenting (assessing), and adopting successful approaches (adapting).","PURPOSE: Clinical teachers must continuously learn new skills to support evolving needs of learners in complex clinical environments. The Clinician Educator Milestones published by the Accreditation Council on Graduate Medical Education delineate the skills needed, yet guidance for how to develop skills is lacking. The Master Adaptive Learner (MAL) framework outlines a process for expertise development, but whether clinical teachers apply this to their own teaching skills development is unclear. The authors explored, through the MAL lens, how master clinical teachers develop their skills and what factors drive changes in their teaching. METHOD: The authors conducted a multisite, interview-based, qualitative study of master clinical teachers, using a cocreated definition to inform selection of participants. They developed and refined a semi-structured interview guide and collected demographics through an online survey between February and June 2024. Two authors analyzed the data using thematic analysis through an iterative process. RESULTS: Twenty-nine clinical teachers participated, representing 11 specialties. The authors identified 4 main themes: (1) master clinical teachers intentionally change and improve their teaching over time; (2) internal and external factors drive change, including learner feedback, reflection, and humility; (3) formal and informal mechanisms enable teachers to change and improve, including faculty development, role modeling, and practice; and (4) changes encompass what and how they teach, with increasing emphasis on learner-centered approaches. The data suggest a master adaptive approach to teacher development-identifying gaps in knowledge through reflection and seeking professional development opportunities (planning), engaging with such opportunities (learning), analyzing feedback after experimenting (assessing), and adopting successful approaches (adapting). CONCLUSIONS: Master clinical teachers describe an active, intentional process to development of teaching skills that maps on the MAL framework. Institutions should support the expansion of faculty development efforts to explicitly promote this approach and address barriers to professional development of clinical teachers.",
41629753,10.1093/eurjcn/zvag029,"This proof-of-concept study suggests that an autonomous AI agent can deliver clinically interpretable, guideline-aligned delirium decision support and may help reduce missed or delayed recognition while standardizing nursing actions. Given the high delirium burden in cardiovascular pathways (e.g., cardiac ICUs and postoperative care), prospective validation in cardiovascular settings is warranted to evaluate clinical impact, safety, and workflow integration.","We constructed a delirium-specific knowledge graph from publicly available clinical guidelines and implemented an autonomous AI agent that integrates retrieval-augmented generation with validated delirium assessment tools to simulate decision-support in nursing workflows. In this proof-of-concept evaluation, the agent was benchmarked on 20 clinical patient cases to assess (i) tool selection accuracy, (ii) fidelity of clinical conclusions, and (iii) adherence to guideline-based delirium care recommendations. Human experts review rated coherence, relevance, and clinical interpretability of the outputs. The 20 cases were drawn from postoperative care (n=6), Cardiac Intensive Care Unit care (n=5), and cancer wards (n=9), including 6 males (30%) and 14 females (70%), with a mean age of 56.5 years (SD 17.9; range 21-82). Two experienced registered nurses independently validated the agent's outputs, benchmarked them against guideline-based recommendations. The agent achieved 100% accuracy in selecting appropriate tools, and 90% overall accuracy in generating conclusions and care recommendations, compared with 45% for other large language model baselines. Recommendations were presented in a structured, actionable format and aligned with guideline-based delirium care.","AIM: To develop and evaluate an autonomous artificial intelligence (AI) agent to support nurse-led delirium screening and guideline-concordant prevention and management. METHODS AND RESULTS: We constructed a delirium-specific knowledge graph from publicly available clinical guidelines and implemented an autonomous AI agent that integrates retrieval-augmented generation with validated delirium assessment tools to simulate decision-support in nursing workflows. In this proof-of-concept evaluation, the agent was benchmarked on 20 clinical patient cases to assess (i) tool selection accuracy, (ii) fidelity of clinical conclusions, and (iii) adherence to guideline-based delirium care recommendations. Human experts review rated coherence, relevance, and clinical interpretability of the outputs. The 20 cases were drawn from postoperative care (n=6), Cardiac Intensive Care Unit care (n=5), and cancer wards (n=9), including 6 males (30%) and 14 females (70%), with a mean age of 56.5 years (SD 17.9; range 21-82). Two experienced registered nurses independently validated the agent's outputs, benchmarked them against guideline-based recommendations. The agent achieved 100% accuracy in selecting appropriate tools, and 90% overall accuracy in generating conclusions and care recommendations, compared with 45% for other large language model baselines. Recommendations were presented in a structured, actionable format and aligned with guideline-based delirium care. CONCLUSIONS: This proof-of-concept study suggests that an autonomous AI agent can deliver clinically interpretable, guideline-aligned delirium decision support and may help reduce missed or delayed recognition while standardizing nursing actions. Given the high delirium burden in cardiovascular pathways (e.g., cardiac ICUs and postoperative care), prospective validation in cardiovascular settings is warranted to evaluate clinical impact, safety, and workflow integration.",
41629728,10.1007/s00701-026-06784-9,"Lumbar UBE decompression appears safe and reproducible in experienced hands when standardized technical strategies are applied, but the evidence base is limited by retrospective design, heterogeneity, and concentration in high-volume centers. The proposed algorithms should be regarded as evidence-informed guidance requiring prospective validation in multicenter cohorts.","Eighteen studies met inclusion criteria: eight primary UBE cohorts (3,433 lumbar cases) and ten secondary reviews. Across nine lumbar cohorts, crude pooled incidences were 2.4% for dural tear, about 2% for symptomatic epidural hematoma and lesion recurrence, 2.5% for incomplete decompression, 0.09% for surgical site infection, and 1.4% for reoperation, with higher rates early in the learning curve. Cervical and thoracic applications were sparsely reported and not suitable for pooled analysis. Algorithms were constructed for dural tear, epidural hematoma, incomplete decompression, and neural complications.","PURPOSE: Unilateral biportal endoscopy (UBE) has expanded as a minimally invasive option for spinal decompression, but complication profiles and their optimal management remain inconsistently reported. This review aimed to synthesize evidence on the incidence, prevention, and management of UBE-related complications and to propose practical management algorithms. METHODS: A PRISMA-aligned search of PubMed, Scopus, Web of Science, and Ovid identified studies (2020-2025) reporting perioperative complications in UBE. Primary inclusion criteria were biportal endoscopic spinal procedures with >/= 50 patients and extractable complication data; secondary reviews were included for contextual synthesis. Levels of evidence (Oxford CEBM) and risk of bias (Newcastle-Ottawa Scale) were assessed for primary cohorts. Crude pooled incidences were calculated from primary cohorts only; secondary literature was analyzed qualitatively. RESULTS: Eighteen studies met inclusion criteria: eight primary UBE cohorts (3,433 lumbar cases) and ten secondary reviews. Across nine lumbar cohorts, crude pooled incidences were 2.4% for dural tear, about 2% for symptomatic epidural hematoma and lesion recurrence, 2.5% for incomplete decompression, 0.09% for surgical site infection, and 1.4% for reoperation, with higher rates early in the learning curve. Cervical and thoracic applications were sparsely reported and not suitable for pooled analysis. Algorithms were constructed for dural tear, epidural hematoma, incomplete decompression, and neural complications. CONCLUSION: Lumbar UBE decompression appears safe and reproducible in experienced hands when standardized technical strategies are applied, but the evidence base is limited by retrospective design, heterogeneity, and concentration in high-volume centers. The proposed algorithms should be regarded as evidence-informed guidance requiring prospective validation in multicenter cohorts.","Humans; *Algorithms; *Postoperative Complications/prevention & control/epidemiology/etiology; *Decompression, Surgical/adverse effects/methods; *Neuroendoscopy/adverse effects/methods"
41629671,10.1007/s00701-026-06783-w,"Our study suggests that the 10MWT should be performed at fast pace (maximum speed), and when normal and fast pace results are contradictory, the fast pace outcome should take priority.","We found that time and step count improvements of normal and fast 10MWT before and after lumbar drainage were maintained in the first two to three years postoperatively. Furthermore, fast pace 10MWT time and step count better predicted postoperative gait improvement than normal pace 10MWT. Early responders of fast gait measures (walking pace improved by >/= 0.1 m/s or step count improvement > 10% after lumbar drainage) were 3.91 (pace) and 6.29 (steps) times more likely to benefit from surgery as opposed to 2.64 (pace) and 1.93 (steps) times for normal walking pace.","PURPOSE : Idiopathic normal pressure hydrocephalus (iNPH) is characterised by Hakim's tetrade comprising gait, balance, cognitive and urinary disturbance. As gait deteriorates early, 10-m walking tests (10MWT) before and after lumbar tap or extended lumbar drainage tests have been used to identify patients who may benefit from permanent cerebrospinal fluid diversion in the form of a ventriculoperitoneal (VP) shunt. Whether 10MWT should be performed at fast or normal pace to best predict benefit from shunting has been unclear so far. METHODS : We included 125 iNPH patients into a retrospective, longitudinal, single-centre cohort study and performed 10MWT before and after 72-h lumbar drainage, immediately after VP shunt insertion and at the 6-month, 1-year, 2-year, 3-year, 5-year and 8-year marks postoperatively. RESULTS : We found that time and step count improvements of normal and fast 10MWT before and after lumbar drainage were maintained in the first two to three years postoperatively. Furthermore, fast pace 10MWT time and step count better predicted postoperative gait improvement than normal pace 10MWT. Early responders of fast gait measures (walking pace improved by >/= 0.1 m/s or step count improvement > 10% after lumbar drainage) were 3.91 (pace) and 6.29 (steps) times more likely to benefit from surgery as opposed to 2.64 (pace) and 1.93 (steps) times for normal walking pace. CONCLUSIONS : Our study suggests that the 10MWT should be performed at fast pace (maximum speed), and when normal and fast pace results are contradictory, the fast pace outcome should take priority.","Humans; *Hydrocephalus, Normal Pressure/surgery/physiopathology/complications/diagnosis; Male; Female; *Ventriculoperitoneal Shunt/methods; Aged; Retrospective Studies; Longitudinal Studies; Middle Aged; *Recovery of Function/physiology; Aged, 80 and over; *Walking Speed/physiology; Treatment Outcome; *Gait Disorders, Neurologic/etiology/diagnosis; *Walk Test/methods; *Walking/physiology; *Gait/physiology"
41629650,10.1007/s11657-026-01659-z,"Costa Rica exhibits a comparatively high burden of hip fractures and fracture risk, which is expected to rise substantially with population aging. The newly developed Costa Rica-specific FRAX(R) model provides an essential tool for improving fracture risk assessment and guiding evidence-based osteoporosis management in clinical practice.","Hip fracture incidence increased with age and was consistently higher in women than in men. Compared with other Latin American countries, Costa Rica demonstrated higher age-specific hip fracture rates and higher 10-year major osteoporotic fracture probabilities at older ages. An estimated 3,176 hip fractures occurred in adults aged >/= 50 years in 2020, with a projected increase to 9,946 by 2050. Age-specific FRAX(R) threshold curves showed widening separation with advancing age, reflecting increasing fracture probability in older age groups.","A country-specific FRAX(R) model for Costa Rica was developed using national hip fracture data from 2015-2019. Hip fracture incidence increased with age, was consistently higher in women, and exceeded rates reported in neighboring Latin American countries. Costa Rica also demonstrated higher 10-year major osteoporotic fracture probabilities at older ages compared with regional FRAX(R) models. An estimated 3,176 hip fractures occurred in 2020, with projections indicating an increase to 9,946 cases by 2050. These findings underscore the growing burden of hip fractures in Costa Rica and the need for targeted prevention strategies. OBJECTIVE: To describe the epidemiology of hip fractures in Costa Rica and to develop a country-specific FRAX(R) model calibrated with national fracture and mortality data. METHODS: All hip fractures (ICD-10 S72.0, S72.1, S72.2) recorded in the Caja Costarricense de Seguro Social registry from 2015-2019 were included. Age- and sex-specific incidence rates were combined with United Nations mortality data to construct a Costa Rica-specific FRAX(R) model. Ten-year fracture probabilities were estimated and compared with those from other Latin American countries with calibrated FRAX(R) models. National projections for hip fracture burden in 2020 and 2050 were derived using United Nations population forecasts. Age-specific FRAX(R) assessment and intervention thresholds were developed following established international methodology. RESULTS: Hip fracture incidence increased with age and was consistently higher in women than in men. Compared with other Latin American countries, Costa Rica demonstrated higher age-specific hip fracture rates and higher 10-year major osteoporotic fracture probabilities at older ages. An estimated 3,176 hip fractures occurred in adults aged >/= 50 years in 2020, with a projected increase to 9,946 by 2050. Age-specific FRAX(R) threshold curves showed widening separation with advancing age, reflecting increasing fracture probability in older age groups. CONCLUSION: Costa Rica exhibits a comparatively high burden of hip fractures and fracture risk, which is expected to rise substantially with population aging. The newly developed Costa Rica-specific FRAX(R) model provides an essential tool for improving fracture risk assessment and guiding evidence-based osteoporosis management in clinical practice.","Humans; Costa Rica/epidemiology; *Hip Fractures/epidemiology; Female; Male; Aged; Middle Aged; *Osteoporotic Fractures/epidemiology; Incidence; Risk Assessment/methods; Aged, 80 and over; Adult; Risk Factors"
41629643,10.1007/s10633-026-10081-2,This is the first demonstration of an alternative stimulus for the EOG that provided clinically valid results with greater comfort than the current ISCEV protocol. Further studies are required to validate the SW-EOG as an alternative to the white broad band stimulus.,In all four cases the SW-EOG was reduced and provided an equivalent clinical measure for RPE dysfunction. All four participants rated the SW-EOG as being more comfortable than the white standard EOG test.,"PURPOSE: The clinical electrooculogram (EOG) is used for the diagnosis of bestrophinopathies to evaluate the function of the retinal pigment epithelium. The current ISCEV test protocol uses a broad band white light with luminance of 100 cd/m(2). An alternative monochromatic 448 nm short wavelength (SW-EOG) has been proposed but to date has not been evaluated in clinical cases where the standard EOG is abnormal. METHODS: To evaluate the clinical potential of the SW-EOG four genetically confirmed cases of Best Vitelliform Macular Dystrophy were tested using the standard white (100 cd/m(2)) and SW-EOG (448 nm) at 30 cd/m(2) to ascertain if the SW-EOG was also affected. In addition, a qualitative 5-point Likert survey was conducted to gauge overall patient comfort. RESULTS: In all four cases the SW-EOG was reduced and provided an equivalent clinical measure for RPE dysfunction. All four participants rated the SW-EOG as being more comfortable than the white standard EOG test. CONCLUSIONS: This is the first demonstration of an alternative stimulus for the EOG that provided clinically valid results with greater comfort than the current ISCEV protocol. Further studies are required to validate the SW-EOG as an alternative to the white broad band stimulus.",
41629572,10.1007/s10384-026-01329-0,"Switching to aflibercept 8 mg achieved anatomical improvements and longer treatment intervals in ~80% of nAMD cases, suggesting it may be a useful alternative to aflibercept 2 mg. However, continuation may be difficult in refractory cases requiring frequent injections before switching.","Forty-four eyes from 44 patients were included. At 6 months, 35 eyes (79.5%) continued and 9 (20.5%) discontinued aflibercept 8 mg. Discontinuing eyes had significantly shorter pre-switch treatment intervals and more frequent prior therapies than continuing eyes. In the continuation group, BCVA remained stable (median 0.05 to 0.00 logMAR, P = 0.351), while the treatment interval was significantly extended (median 7.0 to 9.0 weeks, P < 0.001). Central retinal thickness and pigment epithelial detachment height decreased significantly (P = 0.035 and P = 0.021, respectively). The proportion of eyes with subretinal fluid significantly decreased from 74.3 to 37.1% (P = 0.003). Of the discontinuations, 4 were due to worsening exudation and 5 to inability to extend to >/=8 weeks as required by labeling. No intraocular inflammation or serious adverse events occurred.","PURPOSE: To investigate 6-month outcomes in eyes with neovascular age-related macular degeneration (nAMD) switched from intravitreal aflibercept 2 mg to intravitreal aflibercept 8 mg. STUDY DESIGN: Retrospective observational study. METHODS: We reviewed records of consecutive nAMD eyes switched from aflibercept 2 mg to 8 mg. In eyes continuing aflibercept 8 mg, best-corrected visual acuity (BCVA), treatment intervals, and anatomical/exudative parameters were evaluated at 6 months. In eyes that could not continue, reasons for discontinuation were examined. RESULTS: Forty-four eyes from 44 patients were included. At 6 months, 35 eyes (79.5%) continued and 9 (20.5%) discontinued aflibercept 8 mg. Discontinuing eyes had significantly shorter pre-switch treatment intervals and more frequent prior therapies than continuing eyes. In the continuation group, BCVA remained stable (median 0.05 to 0.00 logMAR, P = 0.351), while the treatment interval was significantly extended (median 7.0 to 9.0 weeks, P < 0.001). Central retinal thickness and pigment epithelial detachment height decreased significantly (P = 0.035 and P = 0.021, respectively). The proportion of eyes with subretinal fluid significantly decreased from 74.3 to 37.1% (P = 0.003). Of the discontinuations, 4 were due to worsening exudation and 5 to inability to extend to >/=8 weeks as required by labeling. No intraocular inflammation or serious adverse events occurred. CONCLUSIONS: Switching to aflibercept 8 mg achieved anatomical improvements and longer treatment intervals in ~80% of nAMD cases, suggesting it may be a useful alternative to aflibercept 2 mg. However, continuation may be difficult in refractory cases requiring frequent injections before switching.",
41629508,10.1007/s00464-026-12578-y,"By optimizing incision placement and instrument alignment, the modified areolar approach shortens operative time, minimizes intraoperative trauma, and decreases complication rates. Its shorter learning curve and greater procedural stability facilitate faster mastery of endoscopic thyroidectomy, supporting its wider clinical adoption.","Compared with the BAA group, the MAA group demonstrated a significantly shorter operative time (P < 0.001), reduced intraoperative blood loss (P = 0.029), and a lower rate of short-term postoperative complications (P = 0.05). The CUSUM learning curve inflection point occurred earlier in the MAA group (20th case vs. 26th case), indicating more rapid acquisition of the technique.","OBJECTIVE: To compare the clinical outcomes and learning curve characteristics of the traditional bilateral areolar approach (BAA) and the modified areolar approach (MAA) in endoscopic thyroidectomy and to assess the advantages and potential for clinical dissemination of the modified technique. METHODS: We retrospectively reviewed 79 female patients who underwent endoscopic radical thyroidectomy for thyroid cancer. Patients were assigned to the BAA group or the MAA group according to the incision placement. Perioperative parameters were compared between groups, such as operative time, intraoperative blood loss, number of lymph nodes harvested, incidence of postoperative complications, and patient satisfaction. A cumulative sum analysis (CUSUM) was performed to construct learning curves and evaluate the progression of surgical proficiency. RESULTS: Compared with the BAA group, the MAA group demonstrated a significantly shorter operative time (P < 0.001), reduced intraoperative blood loss (P = 0.029), and a lower rate of short-term postoperative complications (P = 0.05). The CUSUM learning curve inflection point occurred earlier in the MAA group (20th case vs. 26th case), indicating more rapid acquisition of the technique. CONCLUSION: By optimizing incision placement and instrument alignment, the modified areolar approach shortens operative time, minimizes intraoperative trauma, and decreases complication rates. Its shorter learning curve and greater procedural stability facilitate faster mastery of endoscopic thyroidectomy, supporting its wider clinical adoption.",
41629505,10.1111/tmi.70090,"Our findings indicate a significant burden of shigellosis in Cameroon, coupled with a concerning level of resistance to first-line antibiotics. This high prevalence of antimicrobial resistance (AMR) suggests that current empirical treatments may be ineffective, underscoring the critical need for a continuous surveillance program to guide clinical and public health interventions.","A total of 23 studies were included, surrounding 24,847 total units of analysis (including humans, animals, food and environmental samples). The overall pooled prevalence across all sources was 9% (95% CI, 5.51%-14.76%; I(2) = 93.3%). When restricted to human patient populations (n = 24,464 individuals), the pooled prevalence was 6% (95% CI, 3%-12%; I(2) = 94.0%). Prevalence rates in non-human sources were 6% in animals (n = 358), 9% in food samples (n = 1371) and 6% in environmental samples (n = 610). Among identified species, S. flexneri was most common (36.4%).","BACKGROUND: Shigellosis, a major cause of diarrhoea in low- and middle-income countries, presents a significant public health challenge due to its high morbidity and mortality, particularly among children under five. The local epidemiology and resistance patterns of Shigella species in Cameroon remain poorly characterised. This systematic review and meta-analysis aims to determine the prevalence and antibiotic resistance patterns of Shigella species in Cameroon. METHODS: This systematic review and meta-analysis adhered to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 statement and was registered with the International Prospective Register of Systematic Reviews (PROSPERO). A comprehensive search of databases was performed up to June 2025 to identify observational studies reporting Shigella prevalence. Data were extracted using a pre-tested standardised form, and the risk of bias was assessed with the Hoy et al. checklist. Meta-analyses were performed using a DerSimonian-Laird random-effects model in R software to estimate the pooled prevalence of Shigella. Heterogeneity was assessed using Cochran's Q test and the I(2) statistic. RESULTS: A total of 23 studies were included, surrounding 24,847 total units of analysis (including humans, animals, food and environmental samples). The overall pooled prevalence across all sources was 9% (95% CI, 5.51%-14.76%; I(2) = 93.3%). When restricted to human patient populations (n = 24,464 individuals), the pooled prevalence was 6% (95% CI, 3%-12%; I(2) = 94.0%). Prevalence rates in non-human sources were 6% in animals (n = 358), 9% in food samples (n = 1371) and 6% in environmental samples (n = 610). Among identified species, S. flexneri was most common (36.4%). CONCLUSION: Our findings indicate a significant burden of shigellosis in Cameroon, coupled with a concerning level of resistance to first-line antibiotics. This high prevalence of antimicrobial resistance (AMR) suggests that current empirical treatments may be ineffective, underscoring the critical need for a continuous surveillance program to guide clinical and public health interventions.","Cameroon/epidemiology; Humans; *Dysentery, Bacillary/epidemiology/microbiology/drug therapy; *Shigella/drug effects/isolation & purification; Prevalence; Anti-Bacterial Agents/therapeutic use/pharmacology; Drug Resistance, Bacterial; Animals"
41629289,10.1038/s41405-026-00404-5,"This preliminary study highlights the growing interest in therapeutic pulpotomy as a definitive treatment for teeth with signs and symptoms of irreversible pulpitis in permanent teeth in primary care. Differences in clinical adoption and attitudes between the USA and UK suggest opportunities for further research, education, and implementation support to facilitate the integration of vital pulp therapies into routine practice.","A total of 750 practitioners responded (USA: 416; UK: 334), most of whom were general dental practitioners with over 10 years of experience. Irreversible pulpitis was most diagnosed in 1-5 patients per month. Root canal therapy was the predominant treatment in both countries (USA: 77%; UK: 90%), with extraction frequently selected in the UK (50%). Pulpotomy was reported as a treatment strategy by 20% of USA and 16% of UK respondents, though a larger proportion expressed willingness to consider it as a definitive option (USA: 47%; UK: 87%).","BACKGROUND/AIMS: Treatment paradigms for teeth with signs and symptoms of irreversible pulpitis in permanent teeth are evolving, with increasing interest in conservative approaches such as therapeutic pulpotomy. Understanding the perspectives of both general dentists and endodontists is essential to defining current clinical practices and informing future research. This study explored dental practitioners' approaches to the diagnosis and management of irreversible pulpitis, with a focus on the use of pulpotomy as a definitive treatment. METHODS: An online ""Quick Poll"" cross-sectional survey was distributed to dental practitioners in the United States via the National Dental Practice-Based Research Network and in the United Kingdom through open online channels, including local dental networks, practice-based research networks, and social media platforms. RESULTS: A total of 750 practitioners responded (USA: 416; UK: 334), most of whom were general dental practitioners with over 10 years of experience. Irreversible pulpitis was most diagnosed in 1-5 patients per month. Root canal therapy was the predominant treatment in both countries (USA: 77%; UK: 90%), with extraction frequently selected in the UK (50%). Pulpotomy was reported as a treatment strategy by 20% of USA and 16% of UK respondents, though a larger proportion expressed willingness to consider it as a definitive option (USA: 47%; UK: 87%). CONCLUSION: This preliminary study highlights the growing interest in therapeutic pulpotomy as a definitive treatment for teeth with signs and symptoms of irreversible pulpitis in permanent teeth in primary care. Differences in clinical adoption and attitudes between the USA and UK suggest opportunities for further research, education, and implementation support to facilitate the integration of vital pulp therapies into routine practice.",
